Category,Partner Website/Brand,Coupon Amount,Rewards Percentage,Discount,Offer Summary,Terms and Condition,Offers Name,How to Use,Special Award,Festival Name,Tag,Offer Summary Cleaned,Offer Summary Normalized,Context Info,Personalized Offer,Formatted Email,Formatted Tweet,Formatted Blog,Formatted Push,Validated Offer
Dining,McDonald's,1500,40,Buy 1 Get 1 Free,Special discounts for loyal customers.,Offer valid till stock lasts.,Super Saver Deal,Redeem via mobile app.,No,,bonus,special discounts loyal customers,special discount loyal customers from McDonald's,"{'entities': {""McDonald's"": 'ORG'}, 'sentiment': 0.34523809523809523, 'keywords': ['special', 'discount', 'loyal', 'customers', 'McDonald']}",Exclusive Dining offer from McDonald's! special discount loyal customers from McDonald's Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from McDonald's! special discount loyal customers from McDonald's Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from McDonald's! special discount loyal customers from McDonald's Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from McDonald's! special discount loyal customers from McDonald's Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from McDonald's! special di,Exclusive Dining offer from McDonald's! special discount loyal customers from McDonald's Haste the best with premium dining discount.
Dining,Swiggy,2500,10,10% Off,Special Diwali Offer: Exclusive cashback on selected brands.,Offer valid till stock lasts.,Festive Bonanza,Use code at partner website.,Yes,Diwali,spend,special diwali offer exclusive cashback selected brands,special dial offer exclusive cashback selected bands from Swiggy,"{'entities': {'Swiggy': 'ORG'}, 'sentiment': 0.35714285714285715, 'keywords': ['special', 'dial', 'offer', 'exclusive', 'cashback', 'selected', 'bands', 'Swiggy']}",Exclusive Dining offer from Swiggy! special dial offer exclusive cashback selected bands from Swiggy Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from Swiggy! special dial offer exclusive cashback selected bands from Swiggy Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from Swiggy! special dial offer exclusive cashback selected bands from Swiggy Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from Swiggy! special dial offer exclusive cashback selected bands from Swiggy Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from Swiggy! special dial o,Exclusive Dining offer from Swiggy! special dial offer exclusive cashback selected bands from Swiggy Haste the best with premium dining discount.
Wellness,PharmEasy,1500,5,15% Off,Special Valentine's Offer: Exclusive cashback on selected brands.,Cannot be clubbed with other offers.,Mega Cashback Offer,Discount auto-applied on cart.,Yes,Valentine's,reward,special valentine offer exclusive cashback selected brands,special valentine offer exclusive cashback selected bands from PharmEasy,"{'entities': {'PharmEasy': 'GPE'}, 'sentiment': 0.35714285714285715, 'keywords': ['special', 'valentine', 'offer', 'exclusive', 'cashback', 'selected', 'bands', 'PharmEasy']}",Exclusive Wellness offer from PharmEasy! special valentine offer exclusive cashback selected bands from PharmEasy ,"Dear Valued Customer,

Exclusive Wellness offer from PharmEasy! special valentine offer exclusive cashback selected bands from PharmEasy 

Best Regards,
Your Bank",Exclusive Wellness offer from PharmEasy! special valentine offer exclusive cashback selected bands from PharmEasy  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from PharmEasy! special valentine offer exclusive cashback selected bands from PharmEasy </h2><p>Read more on our website...</p>,Exclusive Wellness offer from PharmEasy! special v,Exclusive Illness offer from PharmEasy! special valentine offer exclusive cashback selected bands from PharmEasy 
Dining,Zomato,2000,35,200 Off,Exclusive cashback on selected brands.,Offer valid till stock lasts.,Festive Bonanza,Redeem via mobile app.,No,,bonus,exclusive cashback selected brands,exclusive cashback selected bands from Zomato,"{'entities': {'Zomato': 'PERSON'}, 'sentiment': 0.0, 'keywords': ['exclusive', 'cashback', 'selected', 'bands', 'Zomato']}",Exclusive Dining offer from Zomato! exclusive cashback selected bands from Zomato Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from Zomato! exclusive cashback selected bands from Zomato Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from Zomato! exclusive cashback selected bands from Zomato Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from Zomato! exclusive cashback selected bands from Zomato Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from Zomato! exclusive cash,Exclusive Dining offer from Tomato! exclusive cashback selected bands from Tomato Haste the best with premium dining discount.
Home Needs,Grofers,2500,25,500 Off,Get exciting discounts on your favorite brands.,Valid for online purchase only.,Festive Bonanza,Show QR code at store.,No,,payment,get exciting discounts favorite brands,get exciting discount favorite bands from Grofers,"{'entities': {'Grofers': 'ORG'}, 'sentiment': 0.4, 'keywords': ['get', 'exciting', 'discount', 'favorite', 'bands', 'Grofers']}",Exclusive Home Needs offer from Grofers! get exciting discount favorite bands from Grofers ,"Dear Valued Customer,

Exclusive Home Needs offer from Grofers! get exciting discount favorite bands from Grofers 

Best Regards,
Your Bank",Exclusive Home Needs offer from Grofers! get exciting discount favorite bands from Grofers  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Home Needs offer from Grofers! get exciting discount favorite bands from Grofers </h2><p>Read more on our website...</p>,Exclusive Home Needs offer from Grofers! get excit,Exclusive Some Needs offer from Refers! get exciting discount favorite bands from Refers 
Dining,Domino's,2000,30,100 Off,Special Diwali Offer: Special discounts for loyal customers.,Offer valid till stock lasts.,Flash Sale Special,Use code at partner website.,Yes,Diwali,spend,special diwali offer special discounts loyal customers,special dial offer special discount loyal customers from Domino's,"{'entities': {'Domino': 'PERSON'}, 'sentiment': 0.34920634920634924, 'keywords': ['special', 'dial', 'offer', 'special', 'discount', 'loyal', 'customers', 'Domino']}",Exclusive Dining offer from Domino's! special dial offer special discount loyal customers from Domino's Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from Domino's! special dial offer special discount loyal customers from Domino's Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from Domino's! special dial offer special discount loyal customers from Domino's Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from Domino's! special dial offer special discount loyal customers from Domino's Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from Domino's! special dial,Exclusive Dining offer from Coming's! special dial offer special discount loyal customers from Coming's Haste the best with premium dining discount.
Electronics,Vijay Sales,100,15,200 Off,Limited time offer - grab now!,Cannot be clubbed with other offers.,Reward Booster,Use code at partner website.,No,,shopping,limited time offer grab,limited time offer grab from Vijay Sales,"{'entities': {'Vijay': 'ORG'}, 'sentiment': -0.07142857142857142, 'keywords': ['limited', 'time', 'offer', 'grab', 'Vijay', 'Sales']}",Exclusive Electronics offer from Vijay Sales! limited time offer grab from Vijay Sales ,"Dear Valued Customer,

Exclusive Electronics offer from Vijay Sales! limited time offer grab from Vijay Sales 

Best Regards,
Your Bank",Exclusive Electronics offer from Vijay Sales! limited time offer grab from Vijay Sales  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Electronics offer from Vijay Sales! limited time offer grab from Vijay Sales </h2><p>Read more on our website...</p>,Exclusive Electronics offer from Vijay Sales! limi,Exclusive Electronics offer from Jay Tales! limited time offer grab from Jay Tales 
Home Needs,Flipkart,5000,10,Buy 1 Get 1 Free,Special Valentine's Offer: Special discounts for loyal customers.,Terms and conditions apply as per the brand.,Festive Bonanza,Apply coupon at checkout.,Yes,Valentine's,payment,special valentine offer special discounts loyal customers,special valentine offer special discount loyal customers from Flipkart,"{'entities': {'Flipkart': 'ORG'}, 'sentiment': 0.34920634920634924, 'keywords': ['special', 'valentine', 'offer', 'special', 'discount', 'loyal', 'customers', 'Flipkart']}",Exclusive Home Needs offer from Flipkart! special valentine offer special discount loyal customers from Flipkart ,"Dear Valued Customer,

Exclusive Home Needs offer from Flipkart! special valentine offer special discount loyal customers from Flipkart 

Best Regards,
Your Bank",Exclusive Home Needs offer from Flipkart! special valentine offer special discount loyal customers from Flipkart  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Home Needs offer from Flipkart! special valentine offer special discount loyal customers from Flipkart </h2><p>Read more on our website...</p>,Exclusive Home Needs offer from Flipkart! special ,Exclusive Some Needs offer from Flipkart! special valentine offer special discount loyal customers from Flipkart 
Home Needs,IKEA,500,15,200 Off,Special Eid Offer: Exclusive cashback on selected brands.,Cannot be clubbed with other offers.,Flash Sale Special,Apply coupon at checkout.,Yes,Eid,billing,special eid offer exclusive cashback selected brands,special did offer exclusive cashback selected bands from IKEA,"{'entities': {'IKEA': 'ORG'}, 'sentiment': 0.35714285714285715, 'keywords': ['special', 'offer', 'exclusive', 'cashback', 'selected', 'bands', 'IKEA']}",Exclusive Home Needs offer from IKEA! special did offer exclusive cashback selected bands from IKEA ,"Dear Valued Customer,

Exclusive Home Needs offer from IKEA! special did offer exclusive cashback selected bands from IKEA 

Best Regards,
Your Bank",Exclusive Home Needs offer from IKEA! special did offer exclusive cashback selected bands from IKEA  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Home Needs offer from IKEA! special did offer exclusive cashback selected bands from IKEA </h2><p>Read more on our website...</p>,Exclusive Home Needs offer from IKEA! special did ,Exclusive Some Needs offer from IKEA! special did offer exclusive cashback selected bands from IKEA 
Dining,KFC,1000,35,100 Off,Special Holi Offer: Special discounts for loyal customers.,Valid for online purchase only.,Super Saver Deal,Discount auto-applied on cart.,Yes,Holi,redemption,special holi offer special discounts loyal customers,special hold offer special discount loyal customers from KFC,"{'entities': {'KFC': 'ORG'}, 'sentiment': 0.34920634920634924, 'keywords': ['special', 'hold', 'offer', 'special', 'discount', 'loyal', 'customers', 'KFC']}",Exclusive Dining offer from KFC! special hold offer special discount loyal customers from KFC Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from KFC! special hold offer special discount loyal customers from KFC Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from KFC! special hold offer special discount loyal customers from KFC Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from KFC! special hold offer special discount loyal customers from KFC Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from KFC! special hold offe,Exclusive Dining offer from KFC! special hold offer special discount loyal customers from KFC Haste the best with premium dining discount.
Wellness,HealthKart,2000,30,15% Off,Special New Year Offer: Limited time offer - grab now!,Terms and conditions apply as per the brand.,Festive Bonanza,Redeem via mobile app.,Yes,New Year,membership,special new year offer limited time offer grab,special new year offer limited time offer grab from HealthKart,"{'entities': {'HealthKart': 'ORG'}, 'sentiment': 0.14069264069264067, 'keywords': ['special', 'new', 'year', 'offer', 'limited', 'time', 'offer', 'grab', 'HealthKart']}",Exclusive Wellness offer from HealthKart! special new year offer limited time offer grab from HealthKart ,"Dear Valued Customer,

Exclusive Wellness offer from HealthKart! special new year offer limited time offer grab from HealthKart 

Best Regards,
Your Bank",Exclusive Wellness offer from HealthKart! special new year offer limited time offer grab from HealthKart  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from HealthKart! special new year offer limited time offer grab from HealthKart </h2><p>Read more on our website...</p>,Exclusive Wellness offer from HealthKart! special ,Exclusive Illness offer from HealthKart! special new year offer limited time offer grab from HealthKart 
Home Needs,Flipkart,2500,20,20% Off,Special Christmas Offer: Earn reward points with every purchase.,Offer valid till stock lasts.,Reward Booster,Apply coupon at checkout.,Yes,Christmas,payment,special christmas offer earn reward points every purchase,special christmas offer earn reward points every purchase from Flipkart,"{'entities': {'Flipkart': 'ORG'}, 'sentiment': 0.35714285714285715, 'keywords': ['special', 'christmas', 'offer', 'earn', 'reward', 'points', 'every', 'purchase', 'Flipkart']}",Exclusive Home Needs offer from Flipkart! special christmas offer earn reward points every purchase from Flipkart ,"Dear Valued Customer,

Exclusive Home Needs offer from Flipkart! special christmas offer earn reward points every purchase from Flipkart 

Best Regards,
Your Bank",Exclusive Home Needs offer from Flipkart! special christmas offer earn reward points every purchase from Flipkart  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Home Needs offer from Flipkart! special christmas offer earn reward points every purchase from Flipkart </h2><p>Read more on our website...</p>,Exclusive Home Needs offer from Flipkart! special ,Exclusive Some Needs offer from Flipkart! special christmas offer earn reward points every purchase from Flipkart 
Dining,McDonald's,5000,40,20% Off,Special New Year Offer: Get exciting discounts on your favorite brands.,Cannot be clubbed with other offers.,Reward Booster,Discount auto-applied on cart.,Yes,New Year,reward,special new year offer get exciting discounts favorite brands,special new year offer get exciting discount favorite bands from McDonald's,"{'entities': {""McDonald's"": 'ORG'}, 'sentiment': 0.3233766233766234, 'keywords': ['special', 'new', 'year', 'offer', 'get', 'exciting', 'discount', 'favorite', 'bands', 'McDonald']}",Exclusive Dining offer from McDonald's! special new year offer get exciting discount favorite bands from McDonald's Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from McDonald's! special new year offer get exciting discount favorite bands from McDonald's Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from McDonald's! special new year offer get exciting discount favorite bands from McDonald's Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from McDonald's! special new year offer get exciting discount favorite bands from McDonald's Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from McDonald's! special ne,Exclusive Dining offer from McDonald's! special new year offer get exciting discount favorite bands from McDonald's Haste the best with premium dining discount.
Home Needs,Amazon,2500,15,20% Off,Special Eid Offer: Earn reward points with every purchase.,Cannot be clubbed with other offers.,Reward Booster,Apply coupon at checkout.,Yes,Eid,payment,special eid offer earn reward points every purchase,special did offer earn reward points every purchase from Amazon,"{'entities': {'Amazon': 'ORG'}, 'sentiment': 0.35714285714285715, 'keywords': ['special', 'offer', 'earn', 'reward', 'points', 'every', 'purchase', 'Amazon']}",Exclusive Home Needs offer from Amazon! special did offer earn reward points every purchase from Amazon ,"Dear Valued Customer,

Exclusive Home Needs offer from Amazon! special did offer earn reward points every purchase from Amazon 

Best Regards,
Your Bank",Exclusive Home Needs offer from Amazon! special did offer earn reward points every purchase from Amazon  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Home Needs offer from Amazon! special did offer earn reward points every purchase from Amazon </h2><p>Read more on our website...</p>,Exclusive Home Needs offer from Amazon! special di,Exclusive Some Needs offer from Amazon! special did offer earn reward points every purchase from Amazon 
Home Needs,BigBasket,100,5,10% Off,Special discounts for loyal customers.,Cannot be clubbed with other offers.,Mega Cashback Offer,Show QR code at store.,No,,shopping,special discounts loyal customers,special discount loyal customers from BigBasket,"{'entities': {'BigBasket': 'ORG'}, 'sentiment': 0.34523809523809523, 'keywords': ['special', 'discount', 'loyal', 'customers', 'BigBasket']}",Exclusive Home Needs offer from BigBasket! special discount loyal customers from BigBasket ,"Dear Valued Customer,

Exclusive Home Needs offer from BigBasket! special discount loyal customers from BigBasket 

Best Regards,
Your Bank",Exclusive Home Needs offer from BigBasket! special discount loyal customers from BigBasket  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Home Needs offer from BigBasket! special discount loyal customers from BigBasket </h2><p>Read more on our website...</p>,Exclusive Home Needs offer from BigBasket! special,Exclusive Some Needs offer from BigBasket! special discount loyal customers from BigBasket 
Wellness,CureFit,1500,25,100 Off,Exclusive cashback on selected brands.,Valid for online purchase only.,Reward Booster,Show QR code at store.,No,,reward,exclusive cashback selected brands,exclusive cashback selected bands from CureFit,"{'entities': {'CureFit': 'GPE'}, 'sentiment': 0.0, 'keywords': ['exclusive', 'cashback', 'selected', 'bands', 'CureFit']}",Exclusive Wellness offer from CureFit! exclusive cashback selected bands from CureFit ,"Dear Valued Customer,

Exclusive Wellness offer from CureFit! exclusive cashback selected bands from CureFit 

Best Regards,
Your Bank",Exclusive Wellness offer from CureFit! exclusive cashback selected bands from CureFit  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from CureFit! exclusive cashback selected bands from CureFit </h2><p>Read more on our website...</p>,Exclusive Wellness offer from CureFit! exclusive c,Exclusive Illness offer from CureFit! exclusive cashback selected bands from CureFit 
Electronics,Croma,5000,40,100 Off,Special Valentine's Offer: Limited time offer - grab now!,Offer valid till stock lasts.,Festive Bonanza,Redeem via mobile app.,Yes,Valentine's,spend,special valentine offer limited time offer grab,special valentine offer limited time offer grab from Croma,"{'entities': {'Croma': 'ORG'}, 'sentiment': 0.14285714285714285, 'keywords': ['special', 'valentine', 'offer', 'limited', 'time', 'offer', 'grab', 'Croma']}",Exclusive Electronics offer from Croma! special valentine offer limited time offer grab from Croma ,"Dear Valued Customer,

Exclusive Electronics offer from Croma! special valentine offer limited time offer grab from Croma 

Best Regards,
Your Bank",Exclusive Electronics offer from Croma! special valentine offer limited time offer grab from Croma  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Electronics offer from Croma! special valentine offer limited time offer grab from Croma </h2><p>Read more on our website...</p>,Exclusive Electronics offer from Croma! special va,Exclusive Electronics offer from Aroma! special valentine offer limited time offer grab from Aroma 
Dining,KFC,200,25,20% Off,Limited time offer - grab now!,Valid for online purchase only.,Super Saver Deal,Show QR code at store.,No,,redemption,limited time offer grab,limited time offer grab from KFC,"{'entities': {'KFC': 'ORG'}, 'sentiment': -0.07142857142857142, 'keywords': ['limited', 'time', 'offer', 'grab', 'KFC']}",Exclusive Dining offer from KFC! limited time offer grab from KFC Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from KFC! limited time offer grab from KFC Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from KFC! limited time offer grab from KFC Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from KFC! limited time offer grab from KFC Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from KFC! limited time offe,Exclusive Dining offer from KFC! limited time offer grab from KFC Haste the best with premium dining discount.
Dining,McDonald's,1000,20,Buy 1 Get 1 Free,Special Holi Offer: Earn reward points with every purchase.,Applicable only on select products.,Flash Sale Special,Apply coupon at checkout.,Yes,Holi,reward,special holi offer earn reward points every purchase,special hold offer earn reward points every purchase from McDonald's,"{'entities': {""McDonald's"": 'ORG'}, 'sentiment': 0.35714285714285715, 'keywords': ['special', 'hold', 'offer', 'earn', 'reward', 'points', 'every', 'purchase', 'McDonald']}",Exclusive Dining offer from McDonald's! special hold offer earn reward points every purchase from McDonald's Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from McDonald's! special hold offer earn reward points every purchase from McDonald's Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from McDonald's! special hold offer earn reward points every purchase from McDonald's Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from McDonald's! special hold offer earn reward points every purchase from McDonald's Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from McDonald's! special ho,Exclusive Dining offer from McDonald's! special hold offer earn reward points every purchase from McDonald's Haste the best with premium dining discount.
Dining,Swiggy,500,35,10% Off,Special New Year Offer: Earn reward points with every purchase.,Terms and conditions apply as per the brand.,Super Saver Deal,Apply coupon at checkout.,Yes,New Year,reward,special new year offer earn reward points every purchase,special new year offer earn reward points every purchase from Swiggy,"{'entities': {'Swiggy': 'ORG'}, 'sentiment': 0.24675324675324675, 'keywords': ['special', 'new', 'year', 'offer', 'earn', 'reward', 'points', 'every', 'purchase', 'Swiggy']}",Exclusive Dining offer from Swiggy! special new year offer earn reward points every purchase from Swiggy Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from Swiggy! special new year offer earn reward points every purchase from Swiggy Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from Swiggy! special new year offer earn reward points every purchase from Swiggy Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from Swiggy! special new year offer earn reward points every purchase from Swiggy Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from Swiggy! special new ye,Exclusive Dining offer from Swiggy! special new year offer earn reward points every purchase from Swiggy Haste the best with premium dining discount.
Dining,Swiggy,100,25,500 Off,Limited time offer - grab now!,Cannot be clubbed with other offers.,Super Saver Deal,Show QR code at store.,No,,reward,limited time offer grab,limited time offer grab from Swiggy,"{'entities': {'Swiggy': 'ORG'}, 'sentiment': -0.07142857142857142, 'keywords': ['limited', 'time', 'offer', 'grab', 'Swiggy']}",Exclusive Dining offer from Swiggy! limited time offer grab from Swiggy Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from Swiggy! limited time offer grab from Swiggy Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from Swiggy! limited time offer grab from Swiggy Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from Swiggy! limited time offer grab from Swiggy Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from Swiggy! limited time o,Exclusive Dining offer from Swiggy! limited time offer grab from Swiggy Haste the best with premium dining discount.
Dining,KFC,500,20,15% Off,Get exciting discounts on your favorite brands.,Terms and conditions apply as per the brand.,Mega Cashback Offer,Discount auto-applied on cart.,No,,redemption,get exciting discounts favorite brands,get exciting discount favorite bands from KFC,"{'entities': {'KFC': 'ORG'}, 'sentiment': 0.4, 'keywords': ['get', 'exciting', 'discount', 'favorite', 'bands', 'KFC']}",Exclusive Dining offer from KFC! get exciting discount favorite bands from KFC Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from KFC! get exciting discount favorite bands from KFC Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from KFC! get exciting discount favorite bands from KFC Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from KFC! get exciting discount favorite bands from KFC Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from KFC! get exciting disc,Exclusive Dining offer from KFC! get exciting discount favorite bands from KFC Haste the best with premium dining discount.
Wellness,1mg,1500,25,Buy 1 Get 1 Free,Earn reward points with every purchase.,Cannot be clubbed with other offers.,Flash Sale Special,Show QR code at store.,No,,reward,earn reward points every purchase,earn reward points every purchase from 1mg,"{'entities': {'1': 'CARDINAL'}, 'sentiment': 0.0, 'keywords': ['earn', 'reward', 'points', 'every', 'purchase', 'mg']}",Exclusive Wellness offer from 1mg! earn reward points every purchase from 1mg ,"Dear Valued Customer,

Exclusive Wellness offer from 1mg! earn reward points every purchase from 1mg 

Best Regards,
Your Bank",Exclusive Wellness offer from 1mg! earn reward points every purchase from 1mg  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Wellness offer from 1mg! earn reward points every purchase from 1mg </h2><p>Read more on our website...</p>,Exclusive Wellness offer from 1mg! earn reward poi,Exclusive Illness offer from my! earn reward points every purchase from my 
Electronics,Flipkart,1500,40,200 Off,Special New Year Offer: Earn reward points with every purchase.,Offer valid till stock lasts.,Mega Cashback Offer,Use code at partner website.,Yes,New Year,spend,special new year offer earn reward points every purchase,special new year offer earn reward points every purchase from Flipkart,"{'entities': {'Flipkart': 'ORG'}, 'sentiment': 0.24675324675324675, 'keywords': ['special', 'new', 'year', 'offer', 'earn', 'reward', 'points', 'every', 'purchase', 'Flipkart']}",Exclusive Electronics offer from Flipkart! special new year offer earn reward points every purchase from Flipkart ,"Dear Valued Customer,

Exclusive Electronics offer from Flipkart! special new year offer earn reward points every purchase from Flipkart 

Best Regards,
Your Bank",Exclusive Electronics offer from Flipkart! special new year offer earn reward points every purchase from Flipkart  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Electronics offer from Flipkart! special new year offer earn reward points every purchase from Flipkart </h2><p>Read more on our website...</p>,Exclusive Electronics offer from Flipkart! special,Exclusive Electronics offer from Flipkart! special new year offer earn reward points every purchase from Flipkart 
Electronics,Vijay Sales,200,35,100 Off,Special discounts for loyal customers.,Valid for online purchase only.,Mega Cashback Offer,Show QR code at store.,No,,shopping,special discounts loyal customers,special discount loyal customers from Vijay Sales,"{'entities': {'Vijay': 'ORG'}, 'sentiment': 0.34523809523809523, 'keywords': ['special', 'discount', 'loyal', 'customers', 'Vijay', 'Sales']}",Exclusive Electronics offer from Vijay Sales! special discount loyal customers from Vijay Sales ,"Dear Valued Customer,

Exclusive Electronics offer from Vijay Sales! special discount loyal customers from Vijay Sales 

Best Regards,
Your Bank",Exclusive Electronics offer from Vijay Sales! special discount loyal customers from Vijay Sales  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Electronics offer from Vijay Sales! special discount loyal customers from Vijay Sales </h2><p>Read more on our website...</p>,Exclusive Electronics offer from Vijay Sales! spec,Exclusive Electronics offer from Jay Tales! special discount loyal customers from Jay Tales 
Home Needs,BigBasket,100,40,500 Off,Special Holi Offer: Get exciting discounts on your favorite brands.,Valid for online purchase only.,Festive Bonanza,Use code at partner website.,Yes,Holi,billing,special holi offer get exciting discounts favorite brands,special hold offer get exciting discount favorite bands from BigBasket,"{'entities': {'BigBasket': 'ORG'}, 'sentiment': 0.3857142857142857, 'keywords': ['special', 'hold', 'offer', 'get', 'exciting', 'discount', 'favorite', 'bands', 'BigBasket']}",Exclusive Home Needs offer from BigBasket! special hold offer get exciting discount favorite bands from BigBasket ,"Dear Valued Customer,

Exclusive Home Needs offer from BigBasket! special hold offer get exciting discount favorite bands from BigBasket 

Best Regards,
Your Bank",Exclusive Home Needs offer from BigBasket! special hold offer get exciting discount favorite bands from BigBasket  #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Home Needs offer from BigBasket! special hold offer get exciting discount favorite bands from BigBasket </h2><p>Read more on our website...</p>,Exclusive Home Needs offer from BigBasket! special,Exclusive Some Needs offer from BigBasket! special hold offer get exciting discount favorite bands from BigBasket 
Dining,Swiggy,2000,20,20% Off,Special Diwali Offer: Limited time offer - grab now!,Valid for online purchase only.,Flash Sale Special,Discount auto-applied on cart.,Yes,Diwali,redemption,special diwali offer limited time offer grab,special dial offer limited time offer grab from Swiggy,"{'entities': {'Swiggy': 'ORG'}, 'sentiment': 0.14285714285714285, 'keywords': ['special', 'dial', 'offer', 'limited', 'time', 'offer', 'grab', 'Swiggy']}",Exclusive Dining offer from Swiggy! special dial offer limited time offer grab from Swiggy Taste the best with premium dining discounts.,"Dear Valued Customer,

Exclusive Dining offer from Swiggy! special dial offer limited time offer grab from Swiggy Taste the best with premium dining discounts.

Best Regards,
Your Bank",Exclusive Dining offer from Swiggy! special dial offer limited time offer grab from Swiggy Taste the best with premium dining discounts. #ExclusiveDeal #CreditCardRewards,<h2>Exclusive Dining offer from Swiggy! special dial offer limited time offer grab from Swiggy Taste the best with premium dining discounts.</h2><p>Read more on our website...</p>,Exclusive Dining offer from Swiggy! special dial o,Exclusive Dining offer from Swiggy! special dial offer limited time offer grab from Swiggy Haste the best with premium dining discount.
